"","cellid","coretype","primary","secondary"
"1","A01101401","Core","Vip Mybpc1","0"
"2","A01101402","Core","Vip Parm1","0"
"3","A01101403","Core","L4 Ctxn3","0"
"4","A01101404","Core","Vip Chat","0"
"5","A01101405","Core","Vip Parm1","0"
"6","A01101406","Core","L2/3 Ptgs2","0"
"7","A01101407","Core","L2 Ngb","0"
"8","A01101408","Core","L2/3 Ptgs2","0"
"9","A02271433","Transition","L4 Ctxn3","L2/3 Ptgs2"
"10","A02271434","Core","L2 Ngb","0"
"11","A02271435","Core","Pvalb Gpx3","0"
"12","A02271436","Core","L2/3 Ptgs2","0"
"13","A02271437","Core","Vip Chat","0"
"14","A02271438","Core","L2/3 Ptgs2","0"
"15","A02271439","Core","Vip Parm1","0"
"16","A02271440","Transition","Ndnf Cxcl14","Vip Parm1"
"17","A12101401","Core","Vip Gpc3","0"
"18","A12101402","Core","Vip Chat","0"
"19","A12101403","Core","Vip Chat","0"
"20","A12101404","Core","Vip Gpc3","0"
"21","A12101405","Core","Vip Chat","0"
"22","A12101406","Core","Vip Sncg","0"
"23","A12101407","Core","L4 Ctxn3","0"
"24","A12101408","Core","Vip Mybpc1","0"
"25","A12101409","Core","Vip Chat","0"
"26","A12101410","Core","Vip Chat","0"
"27","A12101411","Transition","L5a Batf3","L6a Sla"
"28","A12101412","Transition","Endo Myl9","OPC Pdgfra"
"29","A12101413","Core","Vip Gpc3","0"
"30","A12101414","Core","L2 Ngb","0"
"31","A12101415","Core","L4 Ctxn3","0"
"32","A12101416","Core","L4 Ctxn3","0"
"33","A12101417","Core","L2/3 Ptgs2","0"
"34","A12101418","Transition","Vip Parm1","Ndnf Cxcl14"
"35","A12101419","Core","Vip Chat","0"
"36","A12101420","Transition","Ndnf Cxcl14","Vip Gpc3"
"37","A12101421","Transition","Vip Mybpc1","Vip Parm1"
"38","A12101422","Transition","Vip Parm1","Vip Mybpc1"
"39","A12101423","Core","L2/3 Ptgs2","0"
"40","A12101424","Core","Vip Mybpc1","0"
"41","A12101425","Transition","Ndnf Car4","Ndnf Cxcl14"
"42","A12101426","Core","L2/3 Ptgs2","0"
"43","A12101427","Core","Vip Mybpc1","0"
"44","A12101428","Transition","Ndnf Cxcl14","Vip Gpc3"
"45","A12101429","Core","L4 Scnn1a","0"
